feature,shap_importance,perm_importance,pdp_effect_strength,interaction_strength,composite_score,composite_rank
backlash,0.19270562359164126,0.287745507559749,0.21732423488938588,0.00027044773581669235,0.7531289514882422,1
max_gimbal_deg,0.009114403323019079,-0.0015483971366324252,0.006639300429700248,0.021608495436328038,0.26811652538826625,2
servo_slew_deg_s,0.013686485413962751,0.0030431470833947594,0.010327333924902758,0.019984193110499985,0.2634873422891957,3
best_u_max_frac,0.009231893906891076,0.0014476550854259824,0.008848609763669241,0.018612443214269952,0.23875058036570843,4
control_effectiveness,0.03686035016476605,0.004050158074925879,0.04535125710520064,0.010047993984004366,0.21975892238589786,5
thrust,0.0050896436863100206,0.003306878306878295,0.0035783616070745356,0.013126725153658944,0.16546231030902214,6
latency_steps,0.0034827667136185904,0.0007391845627139718,0.004216534031582909,0.012266425048801374,0.15192767403381535,7
Cm_alpha,0.007162645542945554,-0.0031582223532687823,0.0072326352971330094,0.008867151469641564,0.11745709076828295,8
wind_strength,0.007172523029258593,0.002894491129785237,0.0082261448093609,0.006114183748595979,0.09202100671448168,9
static_margin,0.009401319718598549,-0.0030112044817927064,0.016658980957189363,0.00219735575786843,0.05416637356051414,10
p_unstable,0.012553441728574602,-0.00612274149425851,0.014867113830750421,0.0015473973572124955,0.045971302326495614,11
mass,0.006808807987518802,-0.00603551362065291,0.006212904318718762,0.0026315179612867307,0.04118183195619017,12
deadband,0.009290525295260138,0.0005835667600373462,0.005963217676427488,0.00033812188174651894,0.023331485067710375,13
Iyy,0.009277977442177381,-0.0016884531590413883,0.007733369685278975,0.00012845482543377023,0.02095177778349177,14
