case_id,tau_actuator_ms,tau_sensor_ms,processing_delay_ms,aero_scale,thrust_scale
1,8,3,1,0.85,0.9
2,25,3,1,0.85,0.9
3,8,15,1,0.85,0.9
4,25,15,1,0.85,0.9
5,8,3,6,0.85,0.9
6,25,3,6,0.85,0.9
7,8,15,6,0.85,0.9
8,25,15,6,0.85,0.9
9,8,3,1,1,0.9
10,25,3,1,1,0.9
11,8,15,1,1,0.9
12,25,15,1,1,0.9
13,8,3,6,1,0.9
14,25,3,6,1,0.9
15,8,15,6,1,0.9
16,25,15,6,1,0.9
17,8,3,1,1.3,0.9
18,25,3,1,1.3,0.9
19,8,15,1,1.3,0.9
20,25,15,1,1.3,0.9
21,8,3,6,1.3,0.9
22,25,3,6,1.3,0.9
23,8,15,6,1.3,0.9
24,25,15,6,1.3,0.9
25,8,3,1,0.85,1.1
26,25,3,1,0.85,1.1
27,8,15,1,0.85,1.1
28,25,15,1,0.85,1.1
29,8,3,6,0.85,1.1
30,25,3,6,0.85,1.1
31,8,15,6,0.85,1.1
32,25,15,6,0.85,1.1
33,8,3,1,1,1.1
34,25,3,1,1,1.1
35,8,15,1,1,1.1
36,25,15,1,1,1.1
37,8,3,6,1,1.1
38,25,3,6,1,1.1
39,8,15,6,1,1.1
40,25,15,6,1,1.1
41,8,3,1,1.3,1.1
42,25,3,1,1.3,1.1
43,8,15,1,1.3,1.1
44,25,15,1,1.3,1.1
45,8,3,6,1.3,1.1
46,25,3,6,1.3,1.1
47,8,15,6,1.3,1.1
48,25,15,6,1.3,1.1
