controller,ablation,uncertainty_level,mean_theta_rmse_deg,stable_fraction,mean_control_thd_pct,mean_observer_omega_o,mean_slew_sat_frac,mean_slew_sat_frac_boost
PID,A_inertia_error,0,65.8956893237003,0.308333333333333,122.573628010934,20,0.269049469049469,0.838418079096045
PID,A_inertia_error,0.1,65.9149116300457,0.2,122.762521149938,20,0.268686868686869,0.83728813559322
PID,A_inertia_error,0.2,65.8859672770773,0.35,122.63971395251,20,0.269237244237244,0.839003228410007
PID,A_inertia_error,0.3,65.8290018937239,0.466666666666667,122.39233640203,20,0.269586894586895,0.840092816787731
PID,A_inertia_error,0.4,65.7851880843324,0.425,122.502520338294,20,0.269373219373219,0.839426957223567
PID,A_inertia_error,0.5,65.7918617124903,0.483333333333333,122.390030890001,20,0.269450919450919,0.839669087974172
PID,A_inertia_error,0.6,65.7691931245344,0.475,122.119171162385,20,0.26976171976172,0.840637610976594
PID,A_inertia_error,0.7,65.7222836618161,0.575,122.337964886359,20,0.26960631960632,0.840153349475383
PID,A_inertia_error,0.8,65.6897016249819,0.6,122.377683451111,20,0.26954156954157,0.839951573849878
PID,A_inertia_error,0.9,65.6686466984849,0.566666666666667,122.014687482877,20,0.269988344988345,0.841343825665859
PID,A_inertia_error,1,65.6178500245456,0.591666666666667,122.022578536525,20,0.269871794871795,0.840980629539951
PID,B_aero_error,0,65.9484799046241,0.175,122.59633919461,20,0.268894068894069,0.837933817594834
PID,B_aero_error,0.1,65.8955664298428,0.375,123.329769347601,20,0.267612017612017,0.833938660209847
PID,B_aero_error,0.2,65.7856650691273,0.658333333333333,124.018959396017,20,0.266064491064491,0.829116222760291
PID,B_aero_error,0.3,65.6878810883097,0.783333333333333,124.65877310914,20,0.264232064232064,0.823405972558515
PID,B_aero_error,0.4,65.6206464936075,0.883333333333333,124.543663143147,20,0.264154364154364,0.823123486682809
PID,B_aero_error,0.5,65.5785246479156,0.941666666666667,124.920572186857,20,0.262755762755763,0.818805488297013
PID,B_aero_error,0.6,65.5084789275796,0.941666666666667,124.495426998085,20,0.262950012950013,0.818866020984665
PID,B_aero_error,0.7,65.441418108678,0.975,124.543992573959,20,0.261810411810412,0.814891041162228
PID,B_aero_error,0.8,65.4330421586626,1,122.639229600912,20,0.26469178969179,0.819874899112187
PID,B_aero_error,0.9,65.3998616540305,0.975,120.990662511467,20,0.266614866614867,0.820177562550444
PID,B_aero_error,1,65.2056458430391,0.991666666666667,118.604375094043,20,0.269567469567469,0.816545601291364
PID,C_latency_error,0,65.942048727336,0.216666666666667,122.710733489705,20,0.268641543641544,0.837146892655367
PID,C_latency_error,0.1,65.7896606745496,0.675,121.934925445855,20,0.270771820771821,0.843603712671509
PID,C_latency_error,0.2,65.7710153597188,0.658333333333333,121.778962531515,20,0.270907795907796,0.843886198547215
PID,C_latency_error,0.3,65.6065175476828,1,120.492512181254,20,0.273083398083398,0.83410008071025
PID,C_latency_error,0.4,65.6509611604738,0.991666666666667,120.749785058036,20,0.273005698005698,0.83500807102502
PID,C_latency_error,0.5,65.47105001966,1,119.169046063751,20,0.27493524993525,0.816303470540759
PID,C_latency_error,0.6,65.4409979298739,1,118.964523322133,20,0.274993524993525,0.815052461662631
PID,C_latency_error,0.7,65.2838855118393,1,117.102197133347,20,0.276793576793577,0.798224374495562
PID,C_latency_error,0.8,65.3105156988211,1,117.215753892143,20,0.276813001813002,0.799354317998386
PID,C_latency_error,0.9,65.0886105789018,1,114.944111021031,20,0.278535353535353,0.782041969330104
PID,C_latency_error,1,65.0641608103356,1,114.576001606255,20,0.278813778813778,0.78135593220339
PID,D_thrust_misalignment,0,65.9312864840898,0.25,122.748579436616,20,0.268673918673919,0.837247780468119
PID,D_thrust_misalignment,0.1,65.7752327940584,0.608333333333333,124.175016394238,20,0.266362341362341,0.830044390637611
PID,D_thrust_misalignment,0.2,65.5377450434657,0.55,125.592298818809,20,0.263455063455064,0.820984665052462
PID,D_thrust_misalignment,0.3,65.2606497887229,0.625,127.878679268654,20,0.258844858844859,0.806618240516546
PID,D_thrust_misalignment,0.4,64.4613607706111,0.683333333333333,132.038949075913,20,0.253826728826729,0.777905569007264
PID,D_thrust_misalignment,0.5,64.3242231908181,0.608333333333333,132.148383974412,20,0.264458689458689,0.777703793381759
PID,D_thrust_misalignment,0.6,64.8633715673668,0.7,138.931693626466,20,0.24546102046102,0.752199354317998
PID,D_thrust_misalignment,0.7,64.8562759967715,0.691666666666667,146.195334559668,20,0.233203833203833,0.675302663438257
PID,D_thrust_misalignment,0.8,66.712381449035,0.308333333333333,145.978248771795,20,0.210353535353535,0.655387409200968
PID,D_thrust_misalignment,0.9,68.0185898147522,0.1,146.365136234969,20,0.211454286454286,0.658938660209846
PID,D_thrust_misalignment,1,68.6864423605933,0.1,149.993140357321,20,0.204493654493654,0.63724778046812
PID,E_observer_bandwidth,0,65.9210086412603,0.283333333333333,122.803003341937,10,0.268706293706294,0.837348668280871
PID,E_observer_bandwidth,0.1,65.897543209541,0.283333333333333,122.784508495233,13,0.268570318570319,0.836924939467312
PID,E_observer_bandwidth,0.2,65.9291123957351,0.291666666666667,122.729645001054,16,0.268796943796944,0.837631154156577
PID,E_observer_bandwidth,0.3,65.9209525222739,0.283333333333333,122.848817823793,19,0.268272468272468,0.835996771589992
PID,E_observer_bandwidth,0.4,65.8797622892631,0.4,122.752081833788,22,0.268686868686869,0.83728813559322
PID,E_observer_bandwidth,0.5,65.8947353584686,0.383333333333333,122.523655203055,25,0.269107744107744,0.838599677158999
