ablation,recommendation,uncertainty_level,epsilon_model,eta_hardware,residual_rms,residual_hf_ratio,estimated_lag_ms,post_burnout_bias_ratio,residual_burst_time_s,attitude_surge_time_s,residual_lead_ms,aero_transition_delay_ms,burst_snr,theta_surge_threshold_deg,q_surge_threshold_deg
A_inertia_error,SwitchToADRC,0,0,0.838418079096045,5.08417944649108,0.00499570841814199,-88,0.923698239564799,1.358,1.676,318,-26,34.803093213083,12,120
A_inertia_error,SwitchToADRC,0.1,0.06,0.83728813559322,5.1210092937699,0.0046750426469158,-94,0.90155463805164,1.372,1.698,326,-6.00000000000001,34.9109684444309,12,120
A_inertia_error,SwitchToADRC,0.2,0.12,0.839003228410007,5.1269788867469,0.0044031313179062,-98,0.888190592219685,1.65,1.698,47.9999999999998,-36,41.7109279040007,12,120
A_inertia_error,SwitchToADRC,0.3,0.18,0.840092816787731,5.12085655003969,0.004375512030951,-104,0.877155876653376,1.224,1.702,478,-26,38.7320099465296,12,120
A_inertia_error,SwitchToADRC,0.4,0.24,0.839426957223567,5.16142943824886,0.00410431838403729,-112,0.852484187634442,1.65,1.72,69.9999999999998,-42,39.0535400172792,12,120
A_inertia_error,SwitchToADRC,0.5,0.3,0.839669087974172,5.17686518092047,0.00395485311548351,-120,0.831334588192487,1.65,1.726,75.9999999999998,-50,41.1666877397044,12,120
A_inertia_error,SwitchToADRC,0.6,0.36,0.840637610976594,5.19374394067828,0.00374548358905016,-126,0.820605268733588,1.196,1.734,538,-38,37.2150854426609,12,120
A_inertia_error,SwitchToADRC,0.7,0.42,0.840153349475383,5.20693582679614,0.00365051163602883,-132,0.799957889423886,1.65,1.744,93.9999999999999,-24,44.0373255122004,12,120
A_inertia_error,SwitchToADRC,0.8,0.48,0.839951573849878,5.21265051649142,0.00345923358663291,-136,0.789862558762934,1.65,1.75,99.9999999999999,-22,39.1027852951934,12,120
A_inertia_error,SwitchToADRC,0.9,0.54,0.841343825665859,5.21765729130682,0.0034104687148685,-142,0.775207644492464,1.286,1.752,466,-28,41.3345600357087,12,120
A_inertia_error,SwitchToADRC,1,0.6,0.840980629539951,5.22965187721869,0.00321538671652816,-146,0.747908967776138,1.146,1.762,616,-48,43.7675590140599,12,120
B_aero_error,SwitchToADRC,0,0,0.837933817594834,5.0976745886891,0.00493129701463816,-90,0.916016201641175,1.65,1.686,35.9999999999998,-28,37.7262687074588,12,120
B_aero_error,SwitchToADRC,0.1,0.1,0.833938660209847,5.24037629564012,0.00554136555491339,-82,0.899466230744615,1.65,1.636,-14,-42,39.7492546866446,12,120
B_aero_error,KeepPID,0.2,0.2,0.829116222760291,6.00785295683539,0.00506965040388511,-78,0.814657862707315,1.65,1.614,-36,-48,48.1264823580645,12,120
B_aero_error,KeepPID,0.3,0.3,0.823405972558515,7.17877206758223,0.00418007241240705,-74,0.758090684118113,1.402,1.612,210,-34,51.2750674212429,12,120
B_aero_error,KeepPID,0.4,0.4,0.823123486682809,8.60718931805981,0.0033854691328716,-72,0.702926604685548,1.65,1.6,-50,-40,49.5289337085601,12,120
