time_s,wn_no_adapt,wn_adapt
0.0000,36.000000,36.000000
0.0010,36.000000,36.000000
0.0020,36.000000,36.000000
0.0030,36.000000,36.000000
0.0040,36.000000,36.000000
0.0050,36.000000,36.000000
0.0060,36.000000,36.000000
0.0070,36.000000,36.000000
0.0080,36.000000,36.000000
0.0090,36.000000,36.000000
0.0100,36.000000,36.000000
0.0110,36.000000,36.000000
0.0120,36.000000,36.000000
0.0130,36.000000,36.000000
0.0140,36.000000,36.000000
0.0150,36.000000,36.000000
0.0160,36.000000,36.000000
0.0170,36.000000,36.000000
0.0180,36.000000,36.000000
0.0190,36.000000,36.000000
0.0200,36.000000,36.000000
0.0210,36.000000,36.000000
0.0220,36.000000,36.000000
0.0230,36.000000,36.000000
0.0240,36.000000,36.000000
0.0250,36.000000,36.000000
0.0260,36.000000,36.000000
0.0270,36.000000,36.000000
0.0280,36.000000,36.000000
0.0290,36.000000,36.000000
0.0300,36.000000,36.000000
0.0310,36.000000,36.000000
0.0320,36.000000,36.000000
0.0330,36.000000,36.000000
0.0340,36.000000,36.000000
0.0350,36.000000,36.000000
0.0360,36.000000,36.000000
0.0370,36.000000,36.000000
0.0380,36.000000,36.000000
0.0390,36.000000,36.000000
0.0400,36.000000,36.000000
0.0410,36.000000,36.000000
0.0420,36.000000,36.000000
0.0430,36.000000,36.000000
0.0440,36.000000,36.000000
0.0450,36.000000,36.000000
0.0460,36.000000,36.000000
0.0470,36.000000,36.000000
0.0480,36.000000,36.000000
0.0490,36.000000,36.000000
0.0500,36.000000,36.000000
0.0510,36.000000,36.000000
0.0520,36.000000,36.000000
0.0530,36.000000,36.000000
0.0540,36.000000,36.000000
0.0550,36.000000,36.000000
0.0560,36.000000,36.000000
0.0570,36.000000,36.000000
0.0580,36.000000,36.000000
0.0590,36.000000,36.000000
0.0600,36.000000,36.000000
0.0610,36.000000,36.000000
0.0620,36.000000,36.000000
0.0630,36.000000,36.000000
0.0640,36.000000,36.000000
0.0650,36.000000,36.000000
0.0660,36.000000,36.000000
0.0670,36.000000,36.000000
0.0680,36.000000,36.000000
0.0690,36.000000,36.000000
0.0700,36.000000,36.000000
0.0710,36.000000,36.000000
0.0720,36.000000,36.000000
0.0730,36.000000,36.000000
0.0740,36.000000,36.000000
0.0750,36.000000,36.000000
0.0760,36.000000,36.000000
0.0770,36.000000,36.000000
0.0780,36.000000,36.000000
0.0790,36.000000,36.000000
0.0800,36.000000,36.000000
0.0810,36.000000,36.000000
0.0820,36.000000,36.000000
0.0830,36.000000,36.000000
0.0840,36.000000,36.000000
0.0850,36.000000,36.000000
0.0860,36.000000,36.000000
0.0870,36.000000,36.000000
0.0880,36.000000,36.000000
0.0890,36.000000,36.000000
0.0900,36.000000,36.000000
0.0910,36.000000,36.000000
0.0920,36.000000,36.000000
0.0930,36.000000,36.000000
0.0940,36.000000,36.000000
0.0950,36.000000,36.000000
0.0960,36.000000,36.000000
0.0970,36.000000,36.000000
0.0980,36.000000,36.000000
0.0990,36.000000,36.000000
0.1000,36.000000,36.000000
0.1010,36.000000,36.000000
0.1020,36.000000,36.000000
0.1030,36.000000,36.000000
0.1040,36.000000,36.000000
0.1050,36.000000,36.000000
0.1060,36.000000,36.000000
0.1070,36.000000,36.000000
0.1080,36.000000,36.000000
0.1090,36.000000,36.000000
0.1100,36.000000,36.000000
0.1110,36.000000,36.000000
0.1120,36.000000,36.000000
0.1130,36.000000,36.000000
0.1140,36.000000,36.000000
0.1150,36.000000,36.000000
0.1160,36.000000,36.000000
0.1170,36.000000,36.000000
0.1180,36.000000,36.000000
0.1190,36.000000,36.000000
0.1200,36.000000,36.000000
0.1210,36.000000,36.000000
0.1220,36.000000,36.000000
0.1230,36.000000,36.000000
0.1240,36.000000,36.000000
0.1250,36.000000,36.000000
0.1260,36.000000,36.000000
0.1270,36.000000,36.000000
0.1280,36.000000,36.000000
0.1290,36.000000,36.000000
0.1300,36.000000,36.000000
0.1310,36.000000,36.000000
0.1320,36.000000,36.000000
0.1330,36.000000,36.000000
0.1340,36.000000,36.000000
0.1350,36.000000,36.000000
0.1360,36.000000,36.000000
0.1370,36.000000,36.000000
0.1380,36.000000,36.000000
0.1390,36.000000,36.000000
0.1400,36.000000,36.000000
0.1410,36.000000,36.000000
0.1420,36.000000,36.000000
0.1430,36.000000,36.000000
0.1440,36.000000,36.000000
0.1450,36.000000,36.000000
0.1460,36.000000,36.000000
0.1470,36.000000,36.000000
0.1480,36.000000,36.000000
0.1490,36.000000,36.000000
0.1500,36.000000,36.000000
0.1510,36.000000,36.000000
0.1520,36.000000,36.000000
0.1530,36.000000,36.000000
0.1540,36.000000,36.000000
0.1550,36.000000,36.000000
0.1560,36.000000,36.000000
0.1570,36.000000,36.000000
0.1580,36.000000,36.000000
0.1590,36.000000,36.000000
0.1600,36.000000,36.000000
0.1610,36.000000,36.000000
0.1620,36.000000,36.000000
0.1630,36.000000,36.000000
0.1640,36.000000,36.000000
0.1650,36.000000,36.000000
0.1660,36.000000,36.000000
0.1670,36.000000,36.000000
0.1680,36.000000,36.000000
0.1690,36.000000,36.000000
0.1700,36.000000,36.000000
0.1710,36.000000,36.000000
0.1720,36.000000,36.000000
0.1730,36.000000,36.000000
0.1740,36.000000,36.000000
0.1750,36.000000,36.000000
0.1760,36.000000,36.000000
0.1770,36.000000,36.000000
0.1780,36.000000,36.000000
0.1790,36.000000,36.000000
0.1800,36.000000,36.000000
0.1810,36.000000,36.000000
0.1820,36.000000,36.000000
0.1830,36.000000,36.000000
0.1840,36.000000,36.000000
0.1850,36.000000,36.000000
0.1860,36.000000,36.000000
0.1870,36.000000,36.000000
0.1880,36.000000,36.000000
0.1890,36.000000,36.000000
0.1900,36.000000,36.000000
0.1910,36.000000,36.000000
0.1920,36.000000,36.000000
